Lon,Lat
-17.15,9.9988575
-14.15,10.048095
-14.15,10.097323
-14.15,10.146545
-14.4,10.19576
-14.55,10.2449665
-14.55,10.294166
-14.55,10.343357
-14.6,10.39254
-14.65,10.441716
-14.75,10.490885
-14.75,10.540045
-14.7,10.589197
-14.75,10.638342
-14.7,10.687479
-14.7,10.736608
-14.65,10.785728
-14.85,10.834841
-14.9,10.883945
-14.9,10.933042
-14.85,10.98213
-15.2,11.03121
-15.2,11.080282
-15.1,11.129346
-15.5,11.178402
-15.5,11.227449
-15.5,11.276488
-15.5,11.325519
-15.45,11.37454
-15.6,11.423554
-15.55,11.47256
-15.5,11.521556
-15.45,11.570544
-15.55,11.619524
-15.6,11.668495
-15.65,11.717458
-15.6,11.766412
-15.6,11.815356
-15.55,11.864293
-15.45,11.91322
-15.45,11.962139
-16.4,12.011048
-16.45,12.05995
-16.45,12.108842
-16.45,12.157724
-16.35,12.206598
-16.3,12.255464
-16.7,12.304319
-16.8,12.353167
-16.85,12.402004
-16.9,12.450833
-16.9,12.499652
-16.75,12.548463
-16.55,12.597263
-16.6,12.646055
-16.9,12.694838
-16.9,12.74361
-16.9,12.792375
-16.9,12.841128
-16.85,12.8898735
-16.85,12.938609
-16.85,12.987334
-16.85,13.036051
-16.85,13.084758
-16.9,13.133454
-16.9,13.182141
-16.9,13.23082
-16.4,13.279488
-16.4,13.328145
-16.6,13.376794
-16.6,13.425432
-16.6,13.474061
-16.65,13.52268
-16.65,13.571289
-16.65,13.619888
-16.7,13.668477
-16.75,13.717056
-16.7,13.765625
-16.65,13.814183
-16.6,13.862732
-16.85,13.91127
-16.85,13.959799
-16.9,14.008317
-16.9,14.056825
-16.9,14.105323
-16.9,14.1538105
-17.0,14.202287
-17.0,14.250753
-17.05,14.29921
-17.05,14.347655
-17.05,14.3960905
-17.15,14.444515
-17.2,14.492929
-17.2,14.541333
-17.25,14.589726
-17.25,14.638109
-17.3,14.6864805
-17.4,14.734841
-17.5,14.783192
-17.35,14.831532
-17.25,14.87986
-17.2,14.928178
-17.2,14.976485
-17.15,15.024781
-17.1,15.073067
-17.05,15.121341
-17.0,15.169604
-17.0,15.217856
-16.95,15.266097
-16.9,15.314327
-16.9,15.362546
-16.85,15.410754
-16.85,15.458951
-16.8,15.507137
-16.75,15.555311
-16.75,15.603474
-16.7,15.651626
-16.7,15.699766
-16.65,15.747894
-16.65,15.796012
-16.65,15.844118
-16.65,15.892213
-16.6,15.940296
-16.6,15.988368
-16.6,16.036428
-16.6,16.084476
-16.6,16.132513
-16.6,16.180538
-16.6,16.228552
-16.65,16.276554
-16.6,16.324545
-16.6,16.372522
-16.6,16.420488
-16.55,16.468443
-16.5,16.516386
-16.5,16.564318
-16.5,16.612236
-16.4,16.660143
-16.4,16.708038
-16.4,16.755922
-16.4,16.803793
-16.45,16.851652
-16.45,16.8995
-16.4,16.947334
-16.3,16.995157
-16.3,17.042967
-16.3,17.090765
-16.3,17.138552
-16.3,17.186323
-16.25,17.234085
-16.25,17.281834
-16.2,17.32957
-16.2,17.377295
-16.2,17.425007
-16.2,17.472706
-16.2,17.520393
-16.15,17.568068
-16.15,17.615728
-16.15,17.663378
-16.15,17.711014
-16.15,17.758638
-16.15,17.80625
-16.15,17.853848
-16.15,17.901434
-16.15,17.949007
-16.1,17.996567
-16.15,18.044113
-16.15,18.091648
-16.15,18.13917
-16.15,18.186678
-16.15,18.234175
-16.0,18.281656
-15.95,18.329126
