day,mean,lower,upper,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
28,33.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0
29,169.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0,0.0
30,341.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.0,0.0
31,473.0,0.0,1878.7172546426254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4690.0,0.0
32,565.0,0.0,2223.657589739365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,5540.0,0.0
33,671.0,0.0,2563.18630160986,0.0,0.0,0.0,0.0,40.0,0.0,0.0,330.0,6340.0,0.0
34,814.0,0.0,2959.0836813513824,0.0,0.0,0.0,0.0,250.0,0.0,0.0,670.0,7220.0,0.0
35,1076.0,0.0,3579.6701060642954,0.0,0.0,0.0,0.0,610.0,0.0,0.0,1730.0,8420.0,0.0
36,1406.0,0.0,4393.22346000429,0.0,0.0,0.0,0.0,910.0,0.0,0.0,3280.0,9870.0,0.0
37,1780.0,0.0,5439.027193121145,0.0,0.0,0.0,0.0,1180.0,0.0,0.0,4700.0,11920.0,0.0
38,2120.0,0.0,6382.97783245468,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,6000.0,13730.0,0.0
39,2329.0,0.0,6888.099582154354,0.0,0.0,0.0,0.0,1810.0,0.0,0.0,6990.0,14490.0,0.0
40,2669.0,0.0,7521.863999742833,0.0,0.0,0.0,0.0,3480.0,0.0,0.0,8050.0,15160.0,0.0
41,3233.0,0.0,8725.283769070931,0.0,0.0,0.0,0.0,6190.0,0.0,0.0,9450.0,16690.0,0.0
42,3703.0,0.0,9698.490055033033,0.0,0.0,0.0,0.0,9210.0,0.0,0.0,10390.0,17430.0,0.0
43,3995.0,0.0,10323.499427194412,0.0,0.0,0.0,0.0,11980.0,0.0,0.0,10420.0,17550.0,0.0
44,4087.0,0.0,10777.98206543703,0.0,0.0,0.0,0.0,14560.0,0.0,0.0,10420.0,17550.0,0.0
45,4087.0,0.0,10907.91606750882,0.0,0.0,0.0,0.0,15390.0,0.0,0.0,10420.0,17550.0,20.0
46,4087.0,0.0,10952.385349709075,0.0,0.0,0.0,0.0,15670.0,0.0,0.0,10420.0,17550.0,40.0
47,4087.0,0.0,10948.625463401511,0.0,0.0,0.0,0.0,15670.0,0.0,0.0,10420.0,17550.0,100.0
48,4087.0,0.0,11085.141467561227,0.0,0.0,0.0,0.0,16510.0,0.0,0.0,10420.0,17550.0,180.0
49,4318.0,0.0,12125.456435997578,0.0,0.0,0.0,0.0,20850.0,0.0,0.0,10420.0,17550.0,360.0
50,4440.0,0.0,12998.912372492197,0.0,0.0,0.0,20.0,24410.0,0.0,0.0,10420.0,17550.0,530.0
51,4440.0,0.0,13349.732038619344,0.0,0.0,0.0,30.0,25990.0,0.0,0.0,10420.0,17550.0,660.0
52,4440.0,0.0,13360.432500725512,0.0,0.0,0.0,90.0,26080.0,0.0,0.0,10420.0,17550.0,780.0
53,4440.0,0.0,13358.749071478578,0.0,0.0,0.0,170.0,26080.0,0.0,0.0,10570.0,17550.0,880.0
54,4440.0,0.0,13359.339437424724,0.0,0.0,0.0,280.0,26080.0,0.0,0.0,10740.0,17550.0,930.0
55,4440.0,0.0,13346.435257722362,0.0,0.0,0.0,430.0,26080.0,0.0,0.0,10740.0,17550.0,1010.0
56,4635.0,0.0,13942.3347957404,0.0,0.0,0.0,620.0,27540.0,0.0,0.0,10740.0,18160.0,1170.0
57,4831.0,0.0,14623.131586125668,0.0,0.0,0.0,780.0,29550.0,0.0,0.0,10740.0,18380.0,1380.0
58,4918.0,0.0,14950.288074013824,0.0,0.0,0.0,940.0,30600.0,0.0,0.0,10740.0,18380.0,1480.0
59,4952.0,0.0,14975.296663274015,0.0,0.0,0.0,1030.0,30600.0,0.0,0.0,10840.0,18380.0,1670.0
60,4952.0,0.0,14946.00665399018,0.0,0.0,0.0,1350.0,30600.0,0.0,0.0,11060.0,18380.0,2200.0
61,4952.0,0.0,14918.90267836503,0.0,0.0,0.0,1770.0,30600.0,0.0,0.0,11390.0,18380.0,2770.0
62,4952.0,0.0,14919.352507060237,0.0,0.0,0.0,1770.0,30600.0,0.0,0.0,12020.0,18460.0,4070.0
63,5074.0,0.0,15138.224808697389,0.0,10.0,0.0,1910.0,30600.0,0.0,0.0,12560.0,19320.0,5430.0
64,5085.0,0.0,15189.346787397986,0.0,10.0,0.0,1910.0,30600.0,10.0,0.0,12820.0,19610.0,6200.0
65,5198.0,0.0,15435.55483501798,0.0,10.0,0.0,1910.0,31070.0,20.0,0.0,13040.0,19730.0,6530.0
66,5290.999999999999,0.0,15575.121936266605,0.0,10.0,0.0,1910.0,31160.0,20.0,0.0,13480.0,19750.0,7010.0
67,5290.999999999999,0.0,15583.299840171778,0.0,20.0,20.0,2180.0,31160.0,20.0,10.0,13760.0,19820.0,7730.0
68,5290.999999999999,0.0,15616.782730621442,0.0,20.0,40.0,2280.0,31160.0,30.0,30.0,14010.0,20020.0,8320.0
69,5290.999999999999,0.0,15686.17407261658,0.0,20.0,50.0,2280.0,31160.0,40.0,50.0,14580.0,20240.0,9220.0
70,5290.999999999999,0.0,15775.789983590515,0.0,50.0,60.0,2280.0,31160.0,90.0,100.0,14580.0,20940.0,10070.0
71,5385.999999999999,0.0,16014.999435506616,0.0,170.0,70.0,2280.0,31440.0,140.0,260.0,14580.0,21690.0,10680.0
72,5649.999999999999,0.0,16545.235839576857,0.0,250.0,70.0,2280.0,32110.0,220.0,440.0,14580.0,22510.0,12080.0
73,5973.0,0.0,17119.48487192263,0.0,330.0,70.0,2400.0,32690.0,250.0,730.0,14580.0,23370.0,13430.0
74,6158.0,0.0,17405.78595991229,0.0,330.0,110.0,2700.0,32690.0,260.0,1140.0,14580.0,24230.0,14270.0
75,6167.0,0.0,17448.45469343382,0.0,330.0,170.0,3180.0,32690.0,270.0,1630.0,14580.0,24890.0,14460.0
76,6245.0,0.0,17587.70518879866,0.0,330.0,230.0,3620.0,32690.0,300.0,2260.0,14630.0,25810.0,14460.0
77,6312.0,0.0,17734.38280745309,0.0,330.0,230.0,3800.0,32690.0,310.0,2810.0,14630.0,26650.0,14460.0
78,6351.0,0.0,17821.04690487358,0.0,330.0,230.0,4180.0,32690.0,310.0,3280.0,14630.0,27270.0,14460.0
79,6390.0,0.0,17853.88520528708,0.0,390.0,230.0,4540.0,32690.0,310.0,3690.0,14630.0,27520.0,14460.0
80,6542.0,0.0,18067.200605629387,0.0,450.0,230.0,5260.0,32690.0,310.0,4400.0,14630.0,28380.0,14460.0
81,6751.0,0.0,18280.361821020277,0.0,450.0,280.0,6140.0,32710.0,320.0,4890.0,14630.0,28680.0,14860.0
82,6989.000000000001,0.0,18499.42657767296,0.0,1040.0,340.0,7250.0,32740.0,320.0,5230.0,14630.0,29190.0,14860.0
83,7151.000000000002,0.0,18766.4952111393,0.0,1140.0,350.0,7790.0,32740.0,410.0,5730.0,14630.0,30160.0,14860.0
84,7280.000000000001,0.0,19007.995566165602,0.0,1310.0,350.0,8080.0,32770.0,470.0,6170.0,14630.0,31060.0,14860.0
85,7372.000000000002,0.0,19216.52485328137,0.0,1450.0,350.0,8080.0,32770.0,490.0,6540.0,14630.0,31860.0,15040.0
86,7469.000000000001,0.0,19361.786090735848,0.0,1640.0,360.0,8080.0,32770.0,520.0,6850.0,14630.0,32230.0,15450.0
87,7594.000000000001,0.0,19515.54838936621,10.0,1680.0,400.0,8720.0,32770.0,530.0,7180.0,14810.0,32570.0,15450.0
88,7777.0,0.0,19682.179923041902,10.0,1900.0,430.0,10210.0,32910.0,560.0,7320.0,14890.0,32630.0,15450.0
89,7959.0,0.0,19896.897176638773,10.0,2090.0,510.0,11460.0,33010.0,620.0,7320.0,14890.0,32930.0,15450.0
90,8089.0,0.0,20066.953247529396,20.0,2450.0,610.0,11790.0,33010.0,620.0,7320.0,14970.0,33340.0,15630.0
91,8089.0,0.0,20134.121211511323,20.0,2880.0,610.0,11790.0,33010.0,620.0,7320.0,14970.0,33900.0,15630.0
92,8089.0,0.0,20176.28075292371,30.0,2880.0,640.0,11790.0,33100.0,630.0,7320.0,14990.0,34070.0,15630.0
93,8089.0,0.0,20192.841373712727,50.0,3030.0,690.0,11790.0,33130.0,640.0,7320.0,15120.0,34220.0,15630.0
94,8089.0,0.0,20166.026289612855,90.0,3170.0,830.0,11790.0,33180.0,740.0,7320.0,15170.0,34220.0,15650.0
95,8168.000000000001,0.0,20242.400854700827,140.0,3340.0,920.0,11790.0,33180.0,820.0,7320.0,15370.0,34280.0,16160.0
96,8429.0,0.0,20570.635845305194,220.0,3420.0,1110.0,12410.0,33190.0,880.0,7320.0,15370.0,34560.0,17650.0
