Lon,Lat
9.3,3.348093
9.35,3.298177
9.35,3.2482586
9.4,3.1983376
9.4,3.1484144
9.4,3.0984886
9.45,3.0485604
9.5,2.99863
9.5,2.9486973
9.5,2.8987625
9.35,2.8488255
9.55,2.798886
9.35,2.7489448
9.5,2.6990013
9.5,2.6490557
9.5,2.599108
9.3,2.5491586
9.45,2.499207
9.3,2.4492536
9.45,2.3992984
9.45,2.3493414
9.25,2.2993824
9.45,2.2494218
9.45,2.1994596
9.45,2.1494956
9.25,2.09953
9.4,2.0495627
9.4,1.999594
9.4,1.9496237
9.4,1.8996519
9.4,1.8496786
9.35,1.799704
9.35,1.749728
9.3,1.6997507
9.1,1.6497719
9.1,1.5997921
9.25,1.549811
9.2,1.4998287
9.15,1.4498452
9.1,1.3998607
9.1,1.3498751
9.05,1.2998885
9.05,1.2499008
8.85,1.1999122
8.85,1.1499227
9.0,1.0999324
9.0,1.0499412
8.95,0.9999492
8.9,0.9499565
8.9,0.89996296
8.9,0.84996885
8.9,0.799974
8.9,0.7499786
8.85,0.6999826
9.3,0.6499861
9.3,0.59998906
9.35,0.54999155
8.8,0.49999365
8.8,0.44999537
8.8,0.39999676
8.8,0.34999782
9.15,0.29999864
9.15,0.24999921
9.35,0.1999996
9.4,0.14999983
8.8,0.09999995
8.8,0.049999993
8.8,0.0
8.8,-0.049999993
8.75,-0.09999995
8.75,-0.14999983
8.7,-0.1999996
8.7,-0.24999921
8.65,-0.29999864
8.65,-0.34999782
8.65,-0.39999676
8.65,-0.44999537
8.65,-0.49999365
8.6,-0.54999155
8.6,-0.59998906
8.55,-0.6499861
8.85,-0.6999826
8.5,-0.7499786
8.45,-0.799974
8.4,-0.84996885
8.4,-0.89996296
8.35,-0.9499565
8.35,-0.9999492
8.35,-1.0499412
8.35,-1.0999324
8.35,-1.1499227
8.35,-1.1999122
8.35,-1.2499008
8.4,-1.2998885
8.4,-1.3498751
8.45,-1.3998607
8.5,-1.4498452
8.5,-1.4998287
8.55,-1.549811
8.55,-1.5997921
8.6,-1.6497719
8.6,-1.6997507
8.65,-1.749728
8.7,-1.799704
8.75,-1.8496786
8.75,-1.8996519
8.75,-1.9496237
8.75,-1.999594
8.75,-2.0495627
8.75,-2.09953
8.8,-2.1494956
8.8,-2.1994596
8.8,-2.2494218
8.8,-2.2993824
8.8,-2.3493414
8.8,-2.3992984
8.8,-2.4492536
8.85,-2.499207
8.9,-2.5491586
8.95,-2.599108
9.0,-2.6490557
9.05,-2.6990013
9.1,-2.7489448
9.1,-2.798886
9.15,-2.8488255
9.25,-2.8987625
9.3,-2.9486973
9.3,-2.99863
9.35,-3.0485604
9.45,-3.0984886
9.5,-3.1484144
9.55,-3.1983376
9.6,-3.2482586
9.65,-3.298177
9.7,-3.348093
9.75,-3.3980064
9.8,-3.4479172
9.85,-3.4978254
9.9,-3.547731
10.0,-3.5976338
10.05,-3.647534
10.1,-3.697431
10.2,-3.7473257
10.25,-3.7972174
10.3,-3.847106
10.3,-3.896992
10.35,-3.9468749
10.35,-3.9967546
10.35,-4.0466313
10.45,-4.096505
10.5,-4.146376
10.55,-4.196244
10.55,-4.246108
10.6,-4.295969
10.65,-4.345827
10.8,-4.395682
10.85,-4.445533
10.9,-4.495381
11.0,-4.545225
11.05,-4.5950665
11.1,-4.644904
11.15,-4.694738
11.2,-4.7445683
11.2,-4.794395
11.25,-4.8442183
11.25,-4.8940377
11.3,-4.943854
11.35,-4.9936657
11.4,-5.043474
11.45,-5.093279
11.45,-5.1430793
11.45,-5.1928763
11.45,-5.242669
11.5,-5.292458
11.5,-5.3422427
11.5,-5.3920236
11.5,-5.4418
11.45,-5.491573
11.45,-5.5413413
11.4,-5.5911055
11.4,-5.6408653
11.35,-5.6906214
11.35,-5.7403727
11.35,-5.7901196
11.4,-5.8398623
11.55,-5.8896008
11.65,-5.9393344
11.8,-5.9890637
11.35,-6.0387883
11.35,-6.0885086
11.35,-6.1382246
11.35,-6.1879354
11.35,-6.237642
11.4,-6.2873435
11.4,-6.3370404
11.4,-6.3867326
11.45,-6.4364195
11.5,-6.486102
11.55,-6.5357795
11.6,-6.585452
11.65,-6.63512
11.65,-6.6847825
11.7,-6.73444
11.75,-6.7840924
11.75,-6.8337398
11.75,-6.883382
11.8,-6.933019
11.8,-6.9826508
11.8,-7.032277
11.85,-7.0818987
11.9,-7.1315145
11.95,-7.181125
11.95,-7.23073
12.0,-7.2803297
12.0,-7.3299236
12.05,-7.3795123
12.2,-7.4290957
12.35,-7.478673
12.4,-7.528245
12.45,-7.5778112
12.5,-7.6273713
12.5,-7.676926
12.5,-7.7264752
12.55,-7.7760186
12.55,-7.825556
12.6,-7.8750873
12.6,-7.9246125
12.65,-7.974132
12.65,-8.023645
12.65,-8.073153
12.7,-8.122654
12.7,-8.17215
12.7,-8.221639
12.75,-8.271122
12.75,-8.320599
12.8,-8.370069
12.8,-8.419534
12.8,-8.468991
12.85,-8.518443
12.85,-8.567888
12.85,-8.617328
12.85,-8.6667595
12.85,-8.716186
12.85,-8.765605
12.85,-8.815018
12.7,-8.864424
12.7,-8.913823
12.8,-8.963216
12.55,-9.012602
12.7,-9.061981
