Lon,Lat
-16.3,19.982159
-16.25,20.029142
-16.3,20.07611
-16.3,20.123066
-16.25,20.170008
-16.25,20.216934
-16.25,20.263847
-16.3,20.310745
-16.35,20.35763
-16.35,20.4045
-16.4,20.451355
-16.4,20.498196
-16.4,20.545023
-16.45,20.591835
-16.45,20.638634
-16.65,20.68542
-16.7,20.73219
-16.75,20.778944
-17.15,20.825686
-16.75,20.872412
-16.75,20.919123
-17.15,20.96582
-16.8,21.012503
-17.15,21.059172
-17.1,21.105825
-17.1,21.152466
-17.1,21.199091
-17.1,21.2457
-17.1,21.292297
-17.1,21.338877
-17.1,21.385445
-17.05,21.431995
-17.05,21.478533
-17.05,21.525055
-17.05,21.571564
-17.05,21.618057
-17.05,21.664536
-17.049997,21.710999
-16.999998,21.757446
-17.049997,21.80388
-16.999996,21.8503
-16.949997,21.896704
-16.949997,21.943092
-16.949995,21.989466
-16.899996,22.035826
-16.899996,22.08217
-16.899994,22.1285
-16.849995,22.174814
-16.799994,22.221113
-16.599993,22.267397
-16.549992,22.313667
-16.54999,22.35992
-16.54999,22.40616
-16.449987,22.452385
-16.449987,22.498592
-16.449986,22.544786
-16.449986,22.590965
-16.399984,22.637129
-16.349981,22.683277
-16.349981,22.72941
-16.399979,22.775526
-16.349977,22.821629
-16.349976,22.867716
-16.249973,22.913788
-16.249971,22.959845
-16.19997,23.005886
-16.199968,23.05191
-16.249966,23.097921
-16.199963,23.143915
-16.19996,23.189896
-16.149958,23.235859
-16.149954,23.281807
-16.09995,23.32774
-16.049948,23.373657
-16.049946,23.41956
-15.999942,23.465446
-15.999939,23.511316
-15.949935,23.557173
-15.949931,23.603012
-15.899926,23.648838
-15.849922,23.694647
-15.849918,23.740438
-15.799913,23.786217
-15.799909,23.831978
-15.799904,23.877724
-15.799899,23.923454
-15.749893,23.96917
-15.699887,24.014868
-15.649881,24.06055
-15.5998745,24.106218
-15.549869,24.151869
-15.499862,24.197504
-15.499855,24.243124
-15.399847,24.288729
-15.349839,24.334316
-15.299831,24.379889
-15.299824,24.425446
-15.249815,24.470985
-15.099805,24.51651
-15.049795,24.562017
-15.049787,24.60751
-14.999777,24.652987
-14.949766,24.698446
-14.949757,24.74389
-14.949747,24.78932
-14.899735,24.834732
-14.899725,24.880129
-14.8997135,24.925508
-14.899702,24.970873
-14.899691,25.01622
-14.899678,25.061552
-14.899666,25.106869
-14.899653,25.152168
-14.89964,25.197453
-14.899627,25.24272
-14.899612,25.287971
-14.849597,25.333206
-14.849583,25.378426
-14.849567,25.423628
-14.799551,25.468815
-14.749533,25.513985
-14.7495165,25.559137
-14.7495,25.604275
-14.749483,25.649395
-14.699464,25.6945
-14.699446,25.739588
-14.699428,25.78466
-14.649406,25.829716
-14.599385,25.874754
-14.599365,25.919777
-14.549342,25.964783
-14.549321,26.009773
-14.549299,26.054747
-14.549277,26.099703
-14.549254,26.144644
-14.4992285,26.189568
-14.499205,26.234474
-14.399175,26.279366
-14.299144,26.32424
-14.249116,26.369097
-14.149083,26.413939
-14.049049,26.458763
-13.999019,26.50357
-13.898983,26.548363
-13.798946,26.593138
-13.748913,26.637896
-13.698878,26.682636
-13.648843,26.727362
-13.598806,26.77207
-13.598773,26.816761
-13.548736,26.861437
-13.5487,26.906094
-13.548665,26.950735
-13.498625,26.99536
-13.498588,27.039967
-13.49855,27.084558
-13.498511,27.129131
-13.448467,27.173689
-13.448427,27.21823
-13.398381,27.262753
-13.348334,27.30726
-13.348291,27.35175
-13.3482485,27.396223
-13.298198,27.44068
-13.298153,27.485119
-13.298107,27.529541
-13.248054,27.573948
-13.248006,27.618336
-13.247957,27.662706
-13.197901,27.707062
-13.0978365,27.751398
-13.097784,27.79572
-12.997717,27.840023
-13.04767,27.88431
-12.997607,27.92858
-12.747513,27.972832
-12.547423,28.017069
-13.397558,28.017069
-13.397614,27.972832
-13.397668,27.92858
-13.447729,27.88431
-13.4477825,27.840023
-13.497841,27.79572
-13.497891,27.751398
-13.547948,27.707062
-13.5479965,27.662706
-13.59805,27.618336
-13.648104,27.573948
-13.698155,27.529541
-13.6982,27.485119
-13.698245,27.44068
-13.698288,27.396223
-13.748336,27.35175
-13.698372,27.30726
-13.698413,27.262753
-13.748458,27.21823
-13.748497,27.173689
-13.748535,27.129131
-13.748573,27.084558
-13.798615,27.039967
-13.898661,26.99536
-14.048709,26.950735
-14.098748,26.906094
-14.098782,26.861437
-14.148818,26.816761
-14.1988535,26.77207
-14.198885,26.727362
-14.2989235,26.682636
-14.348956,26.637896
-14.398989,26.593138
-14.449021,26.548363
-14.549055,26.50357
-14.599086,26.458763
-14.649116,26.413939
-14.79915,26.369097
-14.849177,26.32424
-14.899204,26.279366
-15.049236,26.234474
-15.149264,26.189568
-15.199289,26.144644
-15.249313,26.099703
-15.299336,26.054747
-15.299357,26.009773
-15.34938,25.964783
-15.399401,25.919777
-15.549427,25.874754
-15.599447,25.829716
-15.749471,25.78466
-15.79949,25.739588
-15.799506,25.6945
-15.8495245,25.649395
-15.899542,25.604275
-15.999561,25.559137
-16.049578,25.513985
-16.049591,25.468815
-16.099607,25.423628
-16.149622,25.378426
-16.199636,25.333206
-16.19965,25.287971
-16.199663,25.24272
-16.249676,25.197453
-16.249687,25.152168
-16.249699,25.106869
-16.349712,25.061552
-16.399725,25.01622
-16.399734,24.970873
-16.399744,24.925508
-16.399754,24.880129
-16.449764,24.834732
-16.449774,24.78932
-16.449783,24.74389
-16.449791,24.698446
-16.4498,24.652987
-16.449808,24.60751
-16.449816,24.562017
-16.499825,24.51651
-16.549833,24.470985
-16.54984,24.425446
-16.599848,24.379889
-16.599854,24.334316
-16.649862,24.288729
-16.699867,24.243124
-16.749874,24.197504
-16.74988,24.151869
-16.799887,24.106218
-16.799892,24.06055
-16.799898,24.014868
-16.849903,23.96917
-16.849907,23.923454
-16.849913,23.877724
-16.899918,23.831978
-16.899921,23.786217
-16.949926,23.740438
-16.94993,23.694647
-16.999933,23.648838
-16.999937,23.603012
-17.04994,23.557173
-17.099945,23.511316
-17.099947,23.465446
-17.09995,23.41956
-17.099953,23.373657
-17.099957,23.32774
-17.099958,23.281807
-17.09996,23.235859
-17.099964,23.189896
-17.099966,23.143915
-17.149967,23.097921
-17.19997,23.05191
-17.249971,23.005886
-17.199974,22.959845
-17.199976,22.913788
-17.199978,22.867716
-17.249979,22.821629
-17.24998,22.775526
-17.249983,22.72941
-17.249983,22.683277
-17.249985,22.637129
-17.299986,22.590965
-17.299988,22.544786
-17.349989,22.498592
-17.29999,22.452385
-17.34999,22.40616
-17.399992,22.35992
-17.349993,22.313667
-17.399994,22.267397
-17.449993,22.221113
-17.449995,22.174814
-17.449995,22.1285
-17.449995,22.08217
-17.499996,22.035826
-17.449995,21.989466
-17.449997,21.943092
-17.449997,21.896704
-17.449997,21.8503
-17.499998,21.80388
-17.499998,21.757446
-17.499998,21.710999
-17.499998,21.664536
-17.55,21.618057
-17.55,21.571564
-17.6,21.525055
-17.6,21.478533
-17.6,21.431995
-17.6,21.385445
-17.65,21.338877
-17.7,21.292297
-17.7,21.2457
-17.7,21.199091
-17.7,21.152466
-17.7,21.105825
-17.7,21.059172
-17.7,21.012503
-17.7,20.96582
-17.75,20.919123
-17.75,20.872412
-17.7,20.825686
-17.7,20.778944
-17.75,20.73219
-17.85,20.68542
-17.85,20.638634
-17.9,20.591835
-17.85,20.545023
-17.8,20.498196
-17.8,20.451355
-17.75,20.4045
-17.75,20.35763
-17.75,20.310745
-17.7,20.263847
-17.7,20.216934
-17.7,20.170008
-17.7,20.123066
-17.7,20.07611
-17.65,20.029142
-17.6,19.982159
