Lon,Lat
-16.6,17.996567
-16.6,18.044113
-16.6,18.091648
-16.6,18.13917
-16.6,18.186678
-16.6,18.234175
-16.6,18.281656
-16.65,18.329126
-16.65,18.376585
-16.7,18.424028
-16.7,18.471458
-16.7,18.518877
-16.75,18.56628
-16.75,18.61367
-16.75,18.661049
-16.75,18.708414
-16.8,18.755766
-16.85,18.803104
-16.85,18.85043
-16.85,18.897741
-16.85,18.94504
-16.85,18.992325
-16.85,19.039597
-16.85,19.086853
-16.85,19.134098
-16.85,19.18133
-16.9,19.228546
-16.95,19.275751
-16.95,19.32294
-17.0,19.370117
-17.05,19.41728
-17.1,19.464428
-17.25,19.511564
-17.4,19.558685
-17.4,19.605793
-17.35,19.652887
-17.3,19.699968
-17.25,19.747036
-17.3,19.794088
-17.35,19.841127
-17.5,19.888151
-17.55,19.935163
-17.6,19.982159
-17.65,20.029142
-17.7,20.07611
-17.7,20.123066
-17.7,20.170008
-17.7,20.216934
-17.7,20.263847
-17.75,20.310745
-17.75,20.35763
-17.75,20.4045
-17.8,20.451355
-17.8,20.498196
-17.85,20.545023
-17.9,20.591835
-17.85,20.638634
-17.85,20.68542
-17.75,20.73219
-17.7,20.778944
-17.7,20.825686
-17.75,20.872412
-17.75,20.919123
-17.7,20.96582
-17.7,21.012503
-17.7,21.059172
-17.7,21.105825
-17.7,21.152466
-17.7,21.199091
-17.7,21.2457
-17.7,21.292297
-17.65,21.338877
-17.6,21.385445
-17.6,21.431995
-17.6,21.478533
-17.6,21.525055
-17.55,21.571564
-17.55,21.618057
-17.499998,21.664536
-17.499998,21.710999
-17.499998,21.757446
-17.499998,21.80388
-17.449997,21.8503
-17.449997,21.896704
-17.449997,21.943092
-17.449995,21.989466
-17.499996,22.035826
-17.449995,22.08217
-17.449995,22.1285
-17.449995,22.174814
-17.449993,22.221113
-17.399994,22.267397
-17.349993,22.313667
-17.399992,22.35992
-17.34999,22.40616
-17.29999,22.452385
-17.349989,22.498592
-17.299988,22.544786
-17.299986,22.590965
-17.249985,22.637129
-17.249983,22.683277
-17.249983,22.72941
-17.24998,22.775526
-17.249979,22.821629
-17.199978,22.867716
-17.199976,22.913788
-17.199974,22.959845
-17.249971,23.005886
-17.19997,23.05191
-17.149967,23.097921
-17.099966,23.143915
-17.099964,23.189896
-17.09996,23.235859
-17.099958,23.281807
